Date,Price,Open,High,Low,Vol.,Change %
01/12/1988,277.72,273.68,280.45,270.47,-,0.0147
01/11/1988,273.7,278.97,280.37,262.85,-,-0.0189
01/10/1988,278.97,271.89,283.95,268.84,-,0.026
01/09/1988,271.91,261.52,274.87,256.98,-,0.0397
01/08/1988,261.52,272.03,274.2,256.53,-,-0.0386
01/07/1988,272.02,273.5,276.36,262.48,-,-0.0054
01/06/1988,273.5,262.16,276.88,262.1,-,0.0433
01/05/1988,262.16,261.36,263.7,248.85,-,0.0032
01/04/1988,261.33,258.89,272.05,254.71,-,0.0094
01/03/1988,258.89,267.82,272.64,256.07,-,-0.0333
01/02/1988,267.82,257.05,267.82,247.82,-,0.0418
01/01/1988,257.07,247.1,261.78,240.17,-,0.0404
01/12/1987,247.08,230.32,253.35,221.24,-,0.0729
01/11/1987,230.3,251.73,257.21,225.75,-,-0.0853
01/10/1987,251.79,321.83,328.94,216.46,-,-0.2176
01/09/1987,321.83,329.81,332.18,308.56,-,-0.0242
01/08/1987,329.8,318.62,337.89,314.51,-,0.035
01/07/1987,318.66,303.99,318.85,302.53,-,0.0482
01/06/1987,304,290.12,310.27,286.93,-,0.0479
01/05/1987,290.1,286.99,298.69,277.01,-,0.006
01/04/1987,288.36,291.59,303.65,275.67,-,-0.0115
01/03/1987,291.7,284.17,302.72,282.3,-,0.0264
01/02/1987,284.2,274.08,287.55,273.16,-,0.0369
01/01/1987,274.08,242.17,280.96,242.17,-,0.1318
01/12/1986,242.17,249.22,254.87,241.28,-,-0.0283
01/11/1986,249.22,243.97,249.22,235.51,-,0.0215
